2025-11-27T04:22:22.553Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/ubicaciones
2025-11-27T04:22:22.566Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/fixers
2025-11-27T04:22:58.708Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/ubicaciones
2025-11-27T04:22:58.718Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/fixers
2025-11-27T04:22:58.727Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/ubicaciones
2025-11-27T04:22:58.736Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/fixers
2025-11-27T04:47:10.811Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/ubicaciones
2025-11-27T04:47:10.860Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/fixers
2025-11-27T04:47:10.885Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/ubicaciones
2025-11-27T04:47:10.897Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/fixers
2025-11-27T04:47:50.584Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/ubicaciones
2025-11-27T04:47:50.593Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/fixers
2025-11-27T04:47:50.600Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/ubicaciones
2025-11-27T04:47:50.606Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/fixers
2025-11-27T04:48:01.406Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/ubicaciones
2025-11-27T04:48:01.419Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/fixers
2025-11-27T04:48:01.422Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/ubicaciones
2025-11-27T04:48:01.426Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/fixers
2025-11-27T04:48:13.117Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/ubicaciones
2025-11-27T04:48:13.124Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/fixers
2025-11-27T04:48:13.132Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/ubicaciones
2025-11-27T04:48:13.138Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/fixers
2025-11-27T04:48:45.055Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/ubicaciones
2025-11-27T04:48:45.063Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/fixers
2025-11-27T04:48:45.071Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/ubicaciones
2025-11-27T04:48:45.076Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/fixers
2025-11-27T04:49:13.254Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/ubicaciones
2025-11-27T04:49:13.260Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/fixers
2025-11-27T04:49:13.267Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/ubicaciones
2025-11-27T04:49:13.271Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/fixers
2025-11-27T04:52:01.053Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/ubicaciones
2025-11-27T04:52:01.067Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/fixers
2025-11-27T04:52:01.075Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/ubicaciones
2025-11-27T04:52:01.085Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/fixers
2025-11-27T04:53:01.603Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/ubicaciones
2025-11-27T04:53:01.617Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/fixers
2025-11-27T04:53:01.629Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/ubicaciones
2025-11-27T04:53:01.641Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/fixers
2025-11-27T05:02:58.814Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /bitCrew/recarga
2025-11-27T05:47:22.290Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/ubicaciones
2025-11-27T05:47:22.307Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/fixers
2025-11-27T05:49:37.504Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T05:49:37.520Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/ubicaciones
2025-11-27T05:49:37.524Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/fixers
2025-11-27T05:49:37.540Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T05:49:37.552Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/fixers
2025-11-27T05:49:37.557Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/ubicaciones
2025-11-27T05:49:39.340Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T05:49:39.349Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/ubicaciones
2025-11-27T05:49:39.355Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/fixers
2025-11-27T05:49:44.339Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T05:49:45.309Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T05:49:45.315Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/ubicaciones
2025-11-27T05:49:45.321Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/fixers
2025-11-27T05:49:50.312Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T05:49:55.309Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T05:50:16.378Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T05:50:21.382Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T05:50:26.390Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T05:50:31.384Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T05:50:36.380Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T05:50:41.386Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T05:50:43.055Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T05:50:48.048Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T05:59:07.966Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T05:59:07.978Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/ubicaciones
2025-11-27T05:59:07.981Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/fixers
2025-11-27T05:59:12.962Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T05:59:17.953Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T05:59:21.813Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T05:59:21.823Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T05:59:26.812Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
